id:ID(Theme),name,:LABEL
1.-petits-reacteurs-nucleaires-innovants-(smr),1. Petits réacteurs nucléaires innovants (SMR),Theme
2.-leader-de-l-hydrogene-vert,2. Leader de l'hydrogène vert,Theme
3.-decarbonation-de-l-industrie,3. Décarbonation de l'industrie,Theme
4.-vehicules-electriques-et-hybrides,4. Véhicules électriques et hybrides,Theme
5.-premier-avion-bas-carbone,5. Premier avion bas-carbone,Theme
6.-alimentation-saine-durable-et-tracable,"6. Alimentation saine, durable et traçable",Theme
7.-production-de-biomedicaments-et-dispositifs-medicaux,7. Production de biomédicaments et dispositifs médicaux,Theme
8.-production-de-contenus-culturels-et-creatifs,8. Production de contenus culturels et créatifs,Theme
9.-nouvelle-aventure-spatiale,9. Nouvelle aventure spatiale,Theme
10.-exploration-des-fonds-marins,10. Exploration des fonds marins,Theme
levier-:-composants-cloud-ia-et-quantique,"Levier : Composants, Cloud, IA et Quantique",Theme
soutien-aux-startups-et-deeptech,Soutien aux startups et DeepTech,Theme
poles-et-territoires-d-innovation,Pôles et territoires d'innovation,Theme
soutien-a-la-french-tech,Soutien à la French Tech,Theme
valorisation-de-la-recherche-publique,Valorisation de la recherche publique,Theme
transfert-technologique,Transfert technologique,Theme
modernisation-de-l-outil-de-production,Modernisation de l'outil de production,Theme
digitalisation-des-pme-eti,Digitalisation des PME-ETI,Theme
soutien-de-la-recherche-fondamentale,Soutien de la recherche fondamentale,Theme
formation-aux-metiers-d-avenir,Formation aux métiers d'avenir,Theme
